STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,YEAR,MONTH,DAY,DATE,OBS DATE,VALUE,DATA_FLAG,UNITS
MIL,D,76,INFLOW,1994,1,1,01-01-1994,19940101 0000,559,,CFS
MIL,D,76,INFLOW,1994,1,2,01-02-1994,19940102 0000,767,,CFS
MIL,D,76,INFLOW,1994,1,3,01-03-1994,19940103 0000,1278,,CFS
MIL,D,76,INFLOW,1994,1,4,01-04-1994,19940104 0000,1083,,CFS
MIL,D,76,INFLOW,1994,1,5,01-05-1994,19940105 0000,1233,,CFS
MIL,D,76,INFLOW,1994,1,6,01-06-1994,19940106 0000,831,,CFS
MIL,D,76,INFLOW,1994,1,7,01-07-1994,19940107 0000,1056,,CFS
MIL,D,76,INFLOW,1994,1,8,01-08-1994,19940108 0000,656,,CFS
MIL,D,76,INFLOW,1994,1,9,01-09-1994,19940109 0000,823,,CFS
MIL,D,76,INFLOW,1994,1,10,01-10-1994,19940110 0000,833,,CFS
MIL,D,76,INFLOW,1994,1,11,01-11-1994,19940111 0000,823,,CFS
MIL,D,76,INFLOW,1994,1,12,01-12-1994,19940112 0000,800,,CFS
MIL,D,76,INFLOW,1994,1,13,01-13-1994,19940113 0000,860,,CFS
MIL,D,76,INFLOW,1994,1,14,01-14-1994,19940114 0000,,,CFS
MIL,D,76,INFLOW,1994,1,15,01-15-1994,19940115 0000,427,,CFS
MIL,D,76,INFLOW,1994,1,16,01-16-1994,19940116 0000,792,,CFS
MIL,D,76,INFLOW,1994,1,17,01-17-1994,19940117 0000,1224,,CFS
MIL,D,76,INFLOW,1994,1,18,01-18-1994,19940118 0000,349,,CFS
MIL,D,76,INFLOW,1994,1,19,01-19-1994,19940119 0000,711,,CFS
MIL,D,76,INFLOW,1994,1,20,01-20-1994,19940120 0000,426,,CFS
MIL,D,76,INFLOW,1994,1,21,01-21-1994,19940121 0000,555,,CFS
MIL,D,76,INFLOW,1994,1,22,01-22-1994,19940122 0000,282,,CFS
MIL,D,76,INFLOW,1994,1,23,01-23-1994,19940123 0000,337,,CFS
MIL,D,76,INFLOW,1994,1,24,01-24-1994,19940124 0000,864,,CFS
MIL,D,76,INFLOW,1994,1,25,01-25-1994,19940125 0000,514,,CFS
MIL,D,76,INFLOW,1994,1,26,01-26-1994,19940126 0000,998,,CFS
MIL,D,76,INFLOW,1994,1,27,01-27-1994,19940127 0000,898,,CFS
MIL,D,76,INFLOW,1994,1,28,01-28-1994,19940128 0000,771,,CFS
MIL,D,76,INFLOW,1994,1,29,01-29-1994,19940129 0000,602,,CFS
MIL,D,76,INFLOW,1994,1,30,01-30-1994,19940130 0000,652,,CFS
MIL,D,76,INFLOW,1994,1,31,01-31-1994,19940131 0000,684,,CFS
MIL,D,76,INFLOW,1994,11,1,11-01-1994,19941101 0000,1240,,CFS
MIL,D,76,INFLOW,1994,11,2,11-02-1994,19941101 0000,1240,,CFS
MIL,D,76,INFLOW,1994,11,3,11-03-1994,19941102 0000,1052,,CFS
MIL,D,76,INFLOW,1994,11,4,11-04-1994,19941103 0000,458,,CFS
MIL,D,76,INFLOW,1994,11,5,11-05-1994,19941104 0000,851,,CFS
MIL,D,76,INFLOW,1994,11,6,11-06-1994,19941105 0000,819,,CFS
MIL,D,76,INFLOW,1994,11,7,11-07-1994,19941106 0000,777,,CFS
MIL,D,76,INFLOW,1994,11,8,11-08-1994,19941107 0000,117,,CFS
MIL,D,76,INFLOW,1994,11,9,11-09-1994,19941108 0000,94,,CFS
MIL,D,76,INFLOW,1994,11,10,11-10-1994,19941109 0000,87,,CFS
MIL,D,76,INFLOW,1994,11,11,11-11-1994,19941110 0000,104,,CFS
MIL,D,76,INFLOW,1994,11,12,11-12-1994,19941111 0000,113,,CFS
MIL,D,76,INFLOW,1994,11,13,11-13-1994,19941113 0000,68,,CFS
MIL,D,76,INFLOW,1994,11,14,11-14-1994,19941113 0000,68,,CFS
MIL,D,76,INFLOW,1994,11,15,11-15-1994,19941114 0000,68,,CFS
MIL,D,76,INFLOW,1994,11,16,11-16-1994,19941115 0000,67,,CFS
MIL,D,76,INFLOW,1994,11,17,11-17-1994,19941116 0000,78,,CFS
MIL,D,76,INFLOW,1994,11,18,11-18-1994,19941118 0000,,,CFS
MIL,D,76,INFLOW,1994,11,19,11-19-1994,19941119 0000,,,CFS
MIL,D,76,INFLOW,1994,11,20,11-20-1994,19941120 0000,59,,CFS
MIL,D,76,INFLOW,1994,11,21,11-21-1994,19941120 0000,59,,CFS
MIL,D,76,INFLOW,1994,11,22,11-22-1994,19941121 0000,52,,CFS
MIL,D,76,INFLOW,1994,11,23,11-23-1994,19941122 0000,73,,CFS
MIL,D,76,INFLOW,1994,11,24,11-24-1994,19941124 0000,55,,CFS
MIL,D,76,INFLOW,1994,11,25,11-25-1994,19941124 0000,55,,CFS
MIL,D,76,INFLOW,1994,11,26,11-26-1994,19941125 0000,115,,CFS
MIL,D,76,INFLOW,1994,11,27,11-27-1994,19941126 0000,138,,CFS
MIL,D,76,INFLOW,1994,11,28,11-28-1994,19941127 0000,80,,CFS
MIL,D,76,INFLOW,1994,11,29,11-29-1994,19941128 0000,75,,CFS
MIL,D,76,INFLOW,1994,11,30,11-30-1994,19941130 0000,74,,CFS
MIL,D,76,INFLOW,1994,12,1,12-01-1994,19941130 0000,74,,CFS
